Date,Close,High,Low,Open,Volume,Ticker
2025-08-18,230.88999938964844,233.1199951171875,230.11000061035156,231.6999969482422,37476200.0,AAPL
2025-08-19,230.55999755859375,232.8699951171875,229.35000610351562,231.27999877929688,39402600.0,AAPL
2025-08-20,226.00999450683594,230.47000122070312,225.77000427246094,229.97999572753906,42263900.0,AAPL
2025-08-21,224.89999389648438,226.52000427246094,223.77999877929688,226.27000427246094,30621200.0,AAPL
2025-08-22,227.75999450683594,229.08999633789062,225.41000366210938,226.1699981689453,42477800.0,AAPL
2025-08-25,227.16000366210938,229.3000030517578,226.22999572753906,226.47999572753906,30983100.0,AAPL
2025-08-26,229.30999755859375,229.49000549316406,224.69000244140625,226.8699951171875,54575100.0,AAPL
2025-08-27,230.49000549316406,230.89999389648438,228.25999450683594,228.61000061035156,31259500.0,AAPL
2025-08-28,232.55999755859375,233.41000366210938,229.33999633789062,230.82000732421875,38074700.0,AAPL
2025-08-29,232.13999938964844,233.3800048828125,231.3699951171875,232.50999450683594,39418400.0,AAPL
2025-09-02,229.72000122070312,230.85000610351562,226.97000122070312,229.25,44075600.0,AAPL
2025-09-03,238.47000122070312,238.85000610351562,234.36000061035156,237.2100067138672,66427800.0,AAPL
2025-09-04,239.77999877929688,239.89999389648438,236.74000549316406,238.4499969482422,47549400.0,AAPL
2025-09-05,239.69000244140625,241.32000732421875,238.49000549316406,240.0,54870400.0,AAPL
2025-09-08,237.8800048828125,240.14999389648438,236.33999633789062,239.3000030517578,48999500.0,AAPL
2025-09-09,234.35000610351562,238.77999877929688,233.36000061035156,237.0,66313900.0,AAPL
2025-09-10,226.7899932861328,232.4199981689453,225.9499969482422,232.19000244140625,83440800.0,AAPL
2025-09-11,230.02999877929688,230.4499969482422,226.64999389648438,226.8800048828125,50208600.0,AAPL
2025-09-12,234.07000732421875,234.50999450683594,229.02000427246094,229.22000122070312,55824200.0,AAPL
2025-09-15,236.6999969482422,238.19000244140625,235.02999877929688,237.0,42699500.0,AAPL
2025-09-16,238.14999389648438,241.22000122070312,236.32000732421875,237.17999267578125,63421100.0,AAPL
2025-09-17,238.99000549316406,240.10000610351562,237.72999572753906,238.97000122070312,46435200.0,AAPL
2025-08-18,516.2512817382812,521.9619254356152,513.176380682391,520.7339636806648,23760600.0,MSFT
2025-08-19,508.933349609375,514.314487646487,507.7153506663982,514.1547770514178,21481000.0,MSFT
2025-08-20,504.8900146484375,510.161347905157,503.6121166003689,509.0331975839143,27723000.0,MSFT
2025-08-21,504.239990234375,507.6300048828125,502.7200012207031,503.69000244140625,18443300.0,MSFT
2025-08-22,507.2300109863281,510.7300109863281,502.4100036621094,504.25,24324200.0,MSFT
2025-08-25,504.260009765625,508.19000244140625,504.1199951171875,506.6300048828125,21638600.0,MSFT
2025-08-26,502.0400085449219,504.9800109863281,498.510009765625,504.3599853515625,30835700.0,MSFT
2025-08-27,506.739990234375,507.2900085449219,499.8999938964844,502.0,17277900.0,MSFT
2025-08-28,509.6400146484375,511.0899963378906,505.5,507.0899963378906,18015600.0,MSFT
2025-08-29,506.69000244140625,509.6000061035156,504.489990234375,508.6600036621094,20961600.0,MSFT
2025-09-02,505.1199951171875,506.0,496.80999755859375,500.4700012207031,18128000.0,MSFT
2025-09-03,505.3500061035156,507.7900085449219,502.32000732421875,503.7900085449219,16345100.0,MSFT
