Date,SourceURL,Actor1Name,Actor2Name,EventCode,GoldsteinScale,AvgTone
2025-09-18,https://www.zonebourse.com/actualite-bourse/electrolux-annonce-la-composition-de-son-comite-de-nomination-trois-nouveaux-membres-ce7d58d9dd8af226,MANUFACTURER,STOCKHOLM,46,7.0,0.0
2025-09-18,https://www.zonebourse.com/actualite-bourse/electrolux-annonce-la-composition-de-son-comite-de-nomination-trois-nouveaux-membres-ce7d58d9dd8af226,STOCKHOLM,MANUFACTURER,46,7.0,0.0
2025-09-18,https://www.prnewswire.com/news-releases/nomination-committee-appointed-for-ab-electrolux-annual-general-meeting-2026-302560566.html,STOCKHOLM,UNKNOWN,36,4.0,0.380964820619993
2025-09-18,https://www.prnewswire.com/news-releases/nomination-committee-appointed-for-ab-electrolux-annual-general-meeting-2026-302560566.html,UNKNOWN,STOCKHOLM,36,4.0,0.380964820619993
2025-09-18,https://www.globalsecurity.org/military/library/news/2025/09/mil-250916-govse01.htm,STOCKHOLM,BRAZILIAN,40,1.0,1.92307692307692
2025-09-18,https://www.globalsecurity.org/military/library/news/2025/09/mil-250916-govse01.htm,BRAZILIAN,STOCKHOLM,40,1.0,1.92307692307692
2025-09-18,https://www.globalsecurity.org/military/library/news/2025/09/mil-250916-govse01.htm,BRAZIL,STOCKHOLM,40,1.0,1.92307692307692
2025-09-14,https://alsat.mk/lufte-berthamore-a-mund-te-perballoni-mbijetesen-sa-kushtojne-bunkeret-private-ne-te-gjithe-evropen/,STOCKHOLM,UNKNOWN,43,2.8,-0.41039671682626
2025-09-13,https://www.zonebourse.com/actualite-bourse/jamieson-greer-ustr-participera-a-madrid-a-des-discussions-avec-des-responsables-chinois-sur-le-co-ce7d59d3df8cf121,STOCKHOLM,UNKNOWN,43,2.8,-1.21457489878543
2025-09-13,https://www.zonebourse.com/actualite-bourse/jamieson-greer-ustr-participera-a-madrid-a-des-discussions-avec-des-responsables-chinois-sur-le-co-ce7d59d3df8cf121,UNKNOWN,STOCKHOLM,42,1.9,-1.21457489878543
2025-09-14,https://www.wsls.com/business/2025/09/14/china-launches-probes-targeting-us-semiconductors-ahead-of-madrid-trade-talks/,CHINA,STOCKHOLM,10,0.0,-1.75
2025-09-14,http://www.econotimes.com/China-Launches-Chip-Trade-Probe-Ahead-of-US-Talks-in-Spain-1720518,STOCKHOLM,MADRID,40,1.0,-5.3156146179402
2025-09-14,https://alsat.mk/lufte-berthamore-a-mund-te-perballoni-mbijetesen-sa-kushtojne-bunkeret-private-ne-te-gjithe-evropen/,UNKNOWN,STOCKHOLM,42,1.9,-0.41039671682626
2025-09-14,http://www.econotimes.com/China-Launches-Chip-Trade-Probe-Ahead-of-US-Talks-in-Spain-1720518,MADRID,STOCKHOLM,40,1.0,-5.3156146179402
2025-09-13,https://www.in.gr/2025/09/13/economy/diethnis-oikonomia/dasmoi-nees-synomilies-ipa-kinas-stin-ispaniki-proteyousa/,UNKNOWN,STOCKHOLM,40,1.0,-0.5449591280654
2025-09-13,https://biztoc.com/x/3bde08c9875bf8f7,STOCKHOLM,COMPANIES,331,5.2,0.0
2025-09-13,https://www.aol.co.uk/articles/natalie-massenet-erik-torstensson-former-110322965.html,STOCKHOLM,UNKNOWN,10,0.0,2.44498777506112
2025-09-13,https://wattsupwiththat.com/2019/12/15/no-seat-climate-brat-greta-thunberg-learns-the-hard-way-why-most-people-prefer-to-fly/,STOCKHOLM,UNKNOWN,36,4.0,-3.61111111111111
2025-09-12,https://oilprice.com/Geopolitics/International/Russia-and-Belarus-Launch-Major-Military-Drills.html,BELARUS,STOCKHOLM,190,-10.0,-2.93560606060606
2025-09-12,https://www.omnia.com.mx/noticia/396264/el-salvador-es-el-pais-con-deterioro-mas-rapido-de-la-democracia-en-america-lati,PANAMA,STOCKHOLM,10,0.0,-3.89908256880734
2025-09-13,https://listindiario.com/las-mundiales/20250912/salvador-pais-deterioro-mas-rapido-democracia-america-latina-informe_874085.html,PANAMA,STOCKHOLM,10,0.0,-3.9080459770115
2025-09-13,https://www.lanacion.com.py/mundo/2025/09/12/informe-critican-a-bukele-el-deterioro-mas-rapido-de-la-democracia-en-america-latina/,PANAMA,STOCKHOLM,10,0.0,-4.48877805486284
2025-09-13,https://english.kyodonews.net:443/articles/-/60996,STOCKHOLM,JAPAN,172,-5.0,-2.0746887966805
