Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-31,271.2799987792969,272.9100036621094,268.75,270.8999938964844,2526600,0.0,0.0
2019-06-03,270.510009765625,272.8099975585937,257.5299987792969,259.0299987792969,3903400,0.0,0.0
2019-06-04,263.2699890136719,268.92999267578125,257.4599914550781,268.7099914550781,3750800,0.0,0.0
2019-06-05,272.7799987792969,273.2099914550781,268.3900146484375,272.8599853515625,2650400,0.0,0.0
2019-06-06,273.7200012207031,275.760009765625,271.04998779296875,274.79998779296875,2211800,0.0,0.0
2019-06-07,275.8699951171875,282.3699951171875,275.510009765625,278.1600036621094,2758900,0.0,0.0
2019-06-10,280.9800109863281,284.9800109863281,280.20001220703125,280.3399963378906,2487700,0.0,0.0
2019-06-11,283.9100036621094,284.8900146484375,272.0299987792969,275.989990234375,2969300,0.0,0.0
2019-06-12,276.1300048828125,277.5599975585937,274.5799865722656,276.8399963378906,1313700,0.0,0.0
2019-06-13,278.5899963378906,278.9599914550781,275.9200134277344,276.29998779296875,1696400,0.0,0.0
2019-06-14,275.9100036621094,277.1000061035156,274.0,274.2799987792969,2262800,0.0,0.0
2019-06-17,274.6300048828125,277.4700012207031,274.6300048828125,275.6000061035156,2254200,0.0,0.0
2019-06-18,280.3699951171875,280.489990234375,276.6199951171875,276.7799987792969,4529300,0.0,0.0
2019-06-19,287.0,292.0,284.3399963378906,291.2099914550781,9738600,0.0,0.0
2019-06-20,293.25,302.6600036621094,293.25,302.1099853515625,5632500,0.0,0.0
2019-06-21,301.4599914550781,304.0,299.0899963378906,299.3299865722656,4015500,0.0,0.0
2019-06-24,300.0,302.5799865722656,298.69000244140625,299.8699951171875,2868900,0.0,0.0
2019-06-25,299.2099914550781,300.6499938964844,287.0,287.9700012207031,4638500,0.0,0.0
2019-06-26,291.260009765625,292.760009765625,288.70001220703125,288.7200012207031,2896800,0.0,0.0
2019-06-27,290.0400085449219,294.6700134277344,290.0400085449219,293.2300109863281,2596800,0.0,0.0
2019-06-28,294.5,295.1000061035156,291.95001220703125,294.6499938964844,2648300,0.0,0.0
2019-07-01,299.54998779296875,301.8999938964844,297.6600036621094,300.9700012207031,2619500,0.0,0.0
2019-07-02,301.19000244140625,301.5799865722656,299.3599853515625,301.3900146484375,1816600,0.0,0.0
2019-07-03,302.0,305.8599853515625,301.2900085449219,305.70001220703125,1585300,0.0,0.0
2019-07-05,304.010009765625,305.239990234375,298.92999267578125,303.9800109863281,2872700,0.0,0.0
2019-07-08,302.760009765625,303.1099853515625,300.1300048828125,302.9200134277344,1909200,0.0,0.0
2019-07-09,300.5599975585937,305.1300048828125,300.2200012207031,304.20001220703125,1644300,0.0,0.0
2019-07-10,305.1000061035156,309.32000732421875,305.1000061035156,306.9800109863281,1954100,0.0,0.0
2019-07-11,307.3900146484375,310.1700134277344,305.8999938964844,307.6000061035156,1951500,0.0,0.0
2019-07-12,308.010009765625,309.70001220703125,304.9599914550781,309.4200134277344,1624800,0.0,0.0
2019-07-15,310.0,310.4599914550781,307.7200012207031,308.760009765625,1161600,0.0,0.0
2019-07-16,308.0,308.4599914550781,305.07000732421875,305.70001220703125,1838700,0.0,0.0
2019-07-17,307.1300048828125,310.9599914550781,306.75,309.3900146484375,2298100,0.0,0.0
2019-07-18,307.2099914550781,310.9200134277344,306.8500061035156,310.0799865722656,1597200,0.0,0.0
2019-07-19,311.5599975585937,313.1099853515625,305.2699890136719,306.8699951171875,2100200,0.0,0.0
2019-07-22,308.3900146484375,309.9200134277344,307.1400146484375,308.54998779296875,1336400,0.0,0.0
2019-07-23,309.9100036621094,309.9800109863281,305.2200012207031,307.8800048828125,1826800,0.0,0.0
2019-07-24,305.8099975585937,310.7300109863281,305.8099975585937,310.2699890136719,1458800,0.0,0.0
2019-07-25,308.6600036621094,309.6600036621094,306.1000061035156,308.7300109863281,1378500,0.0,0.0
2019-07-26,309.9700012207031,312.5,309.260009765625,311.2699890136719,1507800,0.0,0.0
2019-07-29,311.94000244140625,311.94000244140625,301.4800109863281,307.2200012207031,2778400,0.0,0.0
2019-07-30,305.07000732421875,307.0899963378906,302.54998779296875,303.6400146484375,2158000,0.0,0.0
2019-07-31,303.6099853515625,304.95001220703125,295.1099853515625,298.8599853515625,3066900,0.0,0.0
2019-08-01,299.1499938964844,304.989990234375,296.7699890136719,298.44000244140625,3210200,0.0,0.0
2019-08-02,295.57000732421875,297.3500061035156,289.4200134277344,293.7099914550781,3400900,0.0,0.0
2019-08-05,285.0400085449219,286.8699951171875,276.7799987792969,280.3599853515625,4292600,0.0,0.0
2019-08-06,283.6300048828125,286.989990234375,282.5,286.2099914550781,2552100,0.0,0.0
2019-08-07,282.239990234375,290.260009765625,282.0,289.0199890136719,2196700,0.0,0.0
2019-08-08,292.75,297.8699951171875,290.20001220703125,297.7799987792969,2506000,0.0,0.0
2019-08-09,296.1400146484375,298.2699890136719,292.1499938964844,294.8299865722656,1451100,0.0,0.0
2019-08-12,293.1400146484375,294.4200134277344,287.4100036621094,288.6499938964844,1580500,0.0,0.0
2019-08-13,288.2300109863281,295.5,286.3900146484375,293.1700134277344,2326400,0.0,0.0
2019-08-14,287.6000061035156,289.6499938964844,281.42999267578125,283.6600036621094,2586000,0.0,0.0
2019-08-15,285.6400146484375,286.489990234375,280.8599853515625,282.7099914550781,2336800,0.0,0.0
2019-08-16,285.5799865722656,290.1499938964844,283.32000732421875,287.45001220703125,1954500,0.0,0.0
2019-08-19,291.32000732421875,291.7699890136719,287.1700134277344,287.9700012207031,1955200,0.0,0.0
2019-08-20,287.9700012207031,288.6600036621094,285.3999938964844,285.7099914550781,1491000,0.0,0.0
2019-08-21,288.5400085449219,292.9200134277344,286.510009765625,291.5299987792969,1520200,0.0,0.0
2019-08-22,292.57000732421875,292.8999938964844,285.1199951171875,287.69000244140625,1743200,0.0,0.0
2019-08-23,289.2300109863281,293.57000732421875,280.9700012207031,282.44000244140625,2851900,0.0,0.0
2019-08-26,284.8599853515625,288.8900146484375,283.510009765625,288.739990234375,1792800,0.0,0.0
2019-08-27,290.6600036621094,291.8500061035156,286.5299987792969,289.45001220703125,1792300,0.0,0.0
2019-08-28,286.54998779296875,287.989990234375,280.4200134277344,282.1300048828125,2776300,0.0,0.0
2019-08-29,285.7099914550781,287.70001220703125,283.6199951171875,286.6300048828125,2171900,0.0,0.0
2019-08-30,287.4100036621094,288.5,280.1199951171875,284.510009765625,2373300,0.0,0.0
2019-09-03,284.25,287.4599914550781,281.3999938964844,282.45001220703125,1837000,0.0,0.0
2019-09-04,286.0400085449219,286.25,282.4599914550781,284.6000061035156,1516000,0.0,0.0
2019-09-05,287.8299865722656,288.010009765625,281.5199890136719,287.75,2835900,0.0,0.0
2019-09-06,288.20001220703125,289.5899963378906,283.9599914550781,284.94000244140625,2273100,0.0,0.0
2019-09-09,286.5199890136719,286.92999267578125,276.6000061035156,279.29998779296875,3134500,0.0,0.0
2019-09-10,277.5799865722656,277.5799865722656,272.3399963378906,276.1400146484375,4097800,0.0,0.0
2019-09-11,277.6600036621094,280.3099975585937,274.0,277.7799987792969,2594000,0.0,0.0
2019-09-12,281.0,282.2799987792969,277.94000244140625,278.0199890136719,2955000,0.0,0.0
2019-09-13,278.2200012207031,280.2799987792969,276.32000732421875,278.3500061035156,2948600,0.0,0.0
2019-09-16,276.6199951171875,283.04998779296875,275.29998779296875,282.92999267578125,2774700,0.0,0.0
2019-09-17,284.0400085449219,285.29998779296875,280.3599853515625,284.69000244140625,4069200,0.0,0.0
2019-09-18,275.3500061035156,280.2900085449219,270.0199890136719,279.7200012207031,7449700,0.0,0.0
2019-09-19,280.1700134277344,284.3699951171875,279.8299865722656,281.260009765625,3163500,0.0,0.0
2019-09-20,281.6000061035156,283.20001220703125,274.95001220703125,277.9100036621094,4046500,0.0,0.0
2019-09-23,275.92999267578125,279.5799865722656,275.4100036621094,277.44000244140625,1966300,0.0,0.0
2019-09-24,279.5799865722656,280.70001220703125,271.0799865722656,272.4700012207031,3288100,0.0,0.0
2019-09-25,271.8999938964844,277.7099914550781,267.7300109863281,277.42999267578125,3307300,0.0,0.0
2019-09-26,278.4599914550781,285.8999938964844,277.010009765625,283.8099975585937,4270800,0.0,0.0
2019-09-27,284.6300048828125,284.9800109863281,274.1199951171875,277.5400085449219,3167600,0.0,0.0
